id,url,aspect,date,elevation,lat,lng,observerName,has_photo,has_video,snow_profile,primaryAvalancheProblem,avalancheProblem,region,roles,redFlags
96374,https://utahavalanchecenter.org/observation/96374,,20250410,Unknown,40.534809979425,-111.67783334252,Gagne/Frey,1,0,0,,Array,"Salt Lake","UAC Staff",Array
96373,https://utahavalanchecenter.org/observation/96373,,20250410,Unknown,40.541673297746,-111.68424918648,Manship,0,0,0,"Wet Snow",Array,"Lake Peak","UAC Staff",Array
96326,https://utahavalanchecenter.org/observation/96326,,20250409,Unknown,40.62214464582,-111.56931100997,Hardesty,1,0,0,"Normal Caution",Array,"Mickey Mouse Mine","UAC Staff",Array
96214,https://utahavalanchecenter.org/observation/96214,,20250406,Unknown,40.594237479114,-111.72061994071,Champion,0,0,0,"Wet Snow",Array,"Salt Lake Twins","UAC Staff",Array
96210,https://utahavalanchecenter.org/observation/96210,,20250406,Unknown,40.595318194258,-111.653457427,Kelly,0,0,0,"Wet Snow",Array,"Salt Lake","UAC Staff",Array
96167,https://utahavalanchecenter.org/observation/96167,,20250405,Unknown,40.637285282197,-111.57658461598,"Kelly, Park City Snow Safety",0,0,0,"Wind Drifted Snow",Array,"Park City Ridgeline","UAC Staff",Array
96078,https://utahavalanchecenter.org/observation/96078,,20250403,Unknown,40.61447775212,-111.69344900757,Gagne/Pease/Johnston,1,0,0,,Array,Santiago,"UAC Staff",Array
96074,https://utahavalanchecenter.org/observation/96074,,20250403,Unknown,40.597000460011,-111.66367127893,"Kelly, Worthen",0,0,0,"New Snow",Array,"Cardiff Fork","UAC Staff",Array
95972,https://utahavalanchecenter.org/observation/95972,,20250401,Unknown,40.654675681848,-111.62659242151,"Champion & UAC NP Staff",0,0,0,"New Snow",Array,"Salt Lake","UAC Staff",Array
95961,https://utahavalanchecenter.org/observation/95961,,20250401,Unknown,40.593884365338,-111.61534860131,Gagne/Johnston,1,0,0,"New Snow",Array,"Little Cottonwood Canyon","UAC Staff",Array
95915,https://utahavalanchecenter.org/observation/95915,,20250331,Unknown,40.594716865632,-111.56273438929,Champion,0,0,0,"Wind Drifted Snow",Array,"Brighton Perimeter","UAC Staff",Array
95870,https://utahavalanchecenter.org/observation/95870,,20250330,Unknown,40.643126101713,-111.63766458032,"Kelly, Wessler",0,0,0,"New Snow",Array,"Big Cottonwood Canyon","UAC Staff",Array
95812,https://utahavalanchecenter.org/observation/95812,,20250329,Unknown,40.532251601742,-111.67920663354,"Kelly, Evatt",0,0,0,"New Snow",Array,"White Pine","UAC Staff",Array
95805,https://utahavalanchecenter.org/observation/95805,,20250328,Unknown,40.583765221251,-111.58138110636,Meisenheimer,0,0,0,"Wet Snow",Array,"Pioneer Bowl","UAC Staff",Array
95625,https://utahavalanchecenter.org/observation/95625,,20250325,Unknown,40.667598573155,-111.68534605415,"Hardesty. Keeling, Passey",0,0,0,"Wet Snow",Array,"Gobblers Knob","UAC Staff",Array
95589,https://utahavalanchecenter.org/observation/95589,,20250324,Unknown,40.647156292549,-111.51178244621,"Hardesty and PCMR avalanche teams",0,0,0,"Wet Snow",Array,"Park City Ski Resort","UAC Staff",Array
