forecast_id,date,Avalanche Problem #1,Avalanche Problem #2,Avalanche Problem #3,Avalanche Problem #4,Avalanche Problem #5,danger_low,danger_mid,danger_high,likelihood,size
f20241124,2024-11-24,Persistent Weak Layer,Wind-Drifted Snow,New Snow,,,TBD,TBD,TBD,TBD,TBD
f20241125,2024-11-25,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241126,2024-11-26,Persistent Weak Layer,Wind-Drifted Snow,,,,TBD,TBD,TBD,TBD,TBD
f20241127,2024-11-27,Persistent Weak Layer,Wind-Drifted Snow,,,,TBD,TBD,TBD,TBD,TBD
f20241128,2024-11-28,Wind-Drifted Snow,Persistent Weak Layer,,,,TBD,TBD,TBD,TBD,TBD
f20241129,2024-11-29,Persistent Weak Layer,Wind-Drifted Snow,,,,TBD,TBD,TBD,TBD,TBD
f20241130,2024-11-30,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241201,2024-12-01,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241202,2024-12-02,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241203,2024-12-03,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241204,2024-12-04,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241205,2024-12-05,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241206,2024-12-06,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241207,2024-12-07,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241208,2024-12-08,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241209,2024-12-09,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241210,2024-12-10,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241211,2024-12-11,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241212,2024-12-12,Wind-Drifted Snow,Persistent Weak Layer,,,,TBD,TBD,TBD,TBD,TBD
f20241213,2024-12-13,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
f20241214,2024-12-14,Persistent Weak Layer,,,,,TBD,TBD,TBD,TBD,TBD
